5.21,5.78167,4.92333,5.78167,5.40667,4.91167,5.97,4.30833,6.325,7.385,3.78,4.66667,5.72333,5.55667,6.19667,6.28833,7.46833,6.305,5.875,0.451667,0,5.555,5.51,4.41167,4.85333,4.155,4.575,3.94833,3.94833,2.80667,3.25333,2.74667,4.35833,2.8,2.74833,3.38667,2.72333,3.195,4.03,3.955,3.855,5.935,7.36833,5.14333,3.91167,4.24333,6.20333,5.735,4.49,5.84167,7.31833,6.13,4.525,3.56833,5.04667,4.55,6.435,6.035,6.62833,5.98,5.13,3.84333,5.38833,4.02167,4.11833,4.37667,2.78333,3.1,4.64167,6.44,3.26833,7.02333,7.49167,5.525,6.01333,7.265,7.36667
5.24333,5.815,4.95667,5.815,5.44,4.945,6.00333,4.34167,6.35833,7.41833,3.81333,4.7,5.75667,5.59,6.23,6.32167,7.50167,6.33833,5.90833,0.485,4.78,0,5.54333,4.445,4.88667,4.18833,4.60833,3.98167,3.98167,2.84,3.28667,2.78,4.39167,2.83333,2.78167,3.42,2.75667,3.22833,4.06333,3.98833,3.88833,5.96833,7.40167,5.17667,3.945,4.27667,6.23667,5.76833,4.52333,5.875,7.35167,6.16333,4.55833,3.60167,5.08,4.58333,6.46833,6.06833,6.66167,6.01333,5.16333,3.87667,5.42167,4.055,4.15167,4.41,2.81667,3.13333,4.675,6.47333,3.30167,7.05667,7.525,5.55833,6.04667,7.29833,7.4
5.26333,5.835,4.97667,5.835,5.46,4.965,6.02333,4.36167,6.37833,6.755,4.965,4.72,3.55,4.90833,4.02333,5.04167,5.295,4.13167,5.35333,1.63667,1.185,3.04667,0,1.22333,6.03833,5.34,5.76,5.13333,5.13333,3.99167,4.43833,3.93167,4.54167,3.985,3.93333,4.57167,3.90833,4.38,3.72,3.60833,3.50833,5.98833,7.42167,4.79667,3.39,3.72167,5.68167,5.21333,1.98167,5.32,5.79167,5.60833,4.375,4.75333,6.23167,4.4,4.475,4.78833,5.38167,4.97833,4.995,2.49333,6.57333,5.20667,5.30333,5.56167,3.96833,4.285,4.49167,6.49333,4.45333,6.12,6.97,5.00333,4.76667,6.74333,6.845
5.38167,5.95333,5.095,5.95333,5.57833,5.08333,6.14167,4.48,6.49667,6.87333,5.28333,4.83833,3.66833,5.02667,4.14167,5.16,5.41333,4.25,5.47167,1.96667,1.515,3.165,3.12,0,6.35667,5.65833,6.07833,5.45167,5.45167,4.31,4.75667,4.25,4.66,4.30333,4.25167,4.89,4.26833,4.69833,3.83833,3.72667,3.62667,6.10667,7.54,4.915,3.50833,3.84,5.8,5.33167,2.1,5.43833,5.91,5.72667,4.49333,5.07167,6.55,4.51833,4.59333,4.90667,5.5,5.09667,5.11333,2.61167,6.89167,5.525,5.62167,5.88,4.28667,4.60333,4.61,6.61167,4.77167,6.23833,7.08833,5.12167,4.885,6.86167,6.96333
5.00667,5.57833,4.72,5.57833,5.20333,4.70833,4.38333,4.105,4.73833,4.99,3.57667,4.46333,5.43167,5.35333,5.905,6.92333,7.17667,6.01333,7.65333,6.9,7.23667,6.845,6.8,6.90167,0,2.33333,2.75333,1.86833,1.86833,3.30833,3.74667,2.54333,3.685,2.59667,2.45667,3.095,4.74667,2.51167,3.73833,3.66333,3.56333,5.73167,7.165,4.85167,5.84333,6.175,8.135,7.66667,6.98,7.77333,7.67333,7.15833,4.32167,3.365,4.84333,4.34667,6.23167,6.67,7.26333,5.77667,5.04167,5.86333,3.56667,1.56,2.29667,2.57667,2.58,2.89667,4.43833,6.23667,3.065,6.82,9.42333,7.45667,6.64833,8.75333,9.29833
4.51,5.08167,4.22333,5.08167,4.70667,4.21167,4.39833,3.60833,4.75333,5.005,3.08,3.96667,4.935,4.85667,5.40833,6.42667,6.68,5.51667,7.15667,6.40333,6.74,6.34833,6.30333,6.405,1.84333,0,1.67667,1.37167,1.37167,2.81167,3.13,2.04667,3.18833,2.1,1.96,2.59833,4.13,2.015,3.24167,3.16667,3.06667,5.235,6.66833,4.355,5.22667,5.55833,7.51833,7.05,6.48333,7.15667,7.17667,6.66167,3.825,2.86833,4.34667,3.85,5.735,6.17333,6.76667,5.28,4.545,5.24667,2.49,1.01167,1.22,2.08833,2.08333,2.4,3.94167,5.74,2.56833,6.32333,8.80667,6.84,6.15167,8.25667,8.68167
5.34333,4.54667,5.05667,4.54667,4.565,5.045,4.14333,4.44167,4.49833,4.73833,3.91333,4.8,5.76833,5.69,6.24167,7.26,7.51333,6.35,7.99,7.23667,7.57333,7.18167,7.13667,7.23833,2.32167,2.67,0,2.205,2.205,3.645,4.08333,2.88,4.02167,2.93333,2.79333,3.43167,5.08333,2.84833,4.075,4,3.9,6.06833,7.50167,5.18833,6.18,6.51167,8.47167,8.00333,7.31667,8.11,8.01,7.495,4.65833,3.70167,3.54667,4.68333,6.56833,7.00667,7.6,6.11333,5.37833,6.2,1.62167,1.89667,0.351667,2.91333,2.91667,3.23333,4.775,6.12833,3.40167,6.37333,9.76,7.79333,6.985,8.30667,9.635
3.13833,3.71,2.85167,3.71,3.335,2.84,3.89833,2.23667,4.25333,5.31333,1.70833,2.595,3.56333,3.485,4.03667,5.055,5.30833,4.145,5.785,5.03167,5.36833,4.97667,4.93167,5.03333,3.48667,2.78833,3.20833,0,0,1.44,1.88667,0.675,1.81667,0.728333,0.588333,1.22667,3.345,0.643333,1.87,1.795,1.695,3.86333,5.29667,2.98333,4.53333,4.865,6.67833,6,5.11167,6.15167,5.805,5.29,2.45333,1.49667,2.975,2.47833,4.36333,4.80167,5.395,3.90833,3.17333,4.465,4.02167,2.655,2.75167,2.305,0.711667,1.02833,2.57,4.36833,1.19667,4.95167,7.80167,6.14667,4.78,6.885,7.67667
3.13833,3.71,2.85167,3.71,3.335,2.84,3.89833,2.23667,4.25333,5.31333,1.70833,2.595,3.56333,3.485,4.03667,5.055,5.30833,4.145,5.785,5.03167,5.36833,4.97667,4.93167,5.03333,3.48667,2.78833,3.20833,0,0,1.44,1.88667,0.675,1.81667,0.728333,0.588333,1.22667,3.345,0.643333,1.87,1.795,1.695,3.86333,5.29667,2.98333,4.53333,4.865,6.67833,6,5.11167,6.15167,5.805,5.29,2.45333,1.49667,2.975,2.47833,4.36333,4.80167,5.395,3.90833,3.17333,4.465,4.02167,2.655,2.75167,2.305,0.711667,1.02833,2.57,4.36833,1.19667,4.95167,7.80167,6.14667,4.78,6.885,7.67667
4.71667,5.28833,4.43,5.28833,4.91333,4.41833,4.605,3.815,4.96,5.21167,3.28667,4.17333,5.14167,5.06333,5.615,6.63333,6.88667,5.72333,6.96167,6.61,6.68333,6.555,6.51,6.34833,2.05,1.35167,1.77167,1.57833,1.57833,0,2.90167,2.25333,3.395,2.30667,2.16667,2.805,3.90167,2.22167,3.44833,3.37333,3.27333,5.44167,6.875,4.56167,4.99833,5.33,7.29,6.82167,6.42667,6.92833,7.38333,6.86833,4.03167,3.075,4.55333,4.05667,5.94167,6.38,6.97333,5.48667,4.75167,5.01833,2.585,1.21833,1.315,2.295,2.29,2.60667,4.14833,5.94667,2.775,6.53,8.57833,6.61167,6.35833,8.35167,8.45333
5.66667,6.23833,5.38,6.23833,5.86333,5.36833,6.42667,4.765,6.78167,6.645,4.23667,5.12333,6.18,6.01333,6.53833,6.02667,7.27167,6.64667,5.61333,6.19833,5.335,6.14333,6.09833,5,3.48333,2,3.205,2.61,2.61,1.43333,0,3.20333,4.815,3.25667,3.205,3.84333,2.55333,3.25333,4.48667,4.41167,4.31167,6.39167,7.825,5.6,3.65,3.98167,5.94167,5.47333,5.07833,5.58,7.05667,5.86833,4.98167,4.025,5.50333,5.00667,6.89167,5.77333,6.36667,6.43667,5.58667,3.67,4.01833,2.65167,2.74833,3.72833,3.24,3.55667,5.09833,6.89667,3.725,7.48,7.23,5.26333,5.75167,7.00333,7.105
2.46333,3.035,2.17667,3.035,2.66,2.165,3.22333,1.56167,3.57833,4.63833,1.03333,1.92,3.82167,2.81,4.03667,4.62167,4.97,4.145,5.72833,5.29,6.375,5.235,5.19,6.41333,3.05667,3.84833,4.26833,2.175,2.175,3.46333,3.91,0,1.61167,0.0533333,2.69167,3.33,5.44833,2.66667,1.56333,1.84,1.95333,3.18833,4.62167,3.24167,6.63667,6.53167,6.93667,6.25833,5.28167,6.41,6.06333,4.98167,1.77833,0.821667,2.3,1.80333,3.68833,4.36833,4.96167,3.23333,2.38333,6.56833,5.08167,2.225,3.81167,2.86167,0.0366667,0.353333,1.895,3.69333,0.521667,4.27667,7.53667,7.01,4.34667,6.21,7.41167
