27,34,32,26,22,22,11,12,17,12,11,6,6,13,7,6,4,10,3,0,5,11,13,15,17,25,21,21,25,22,24,10,8,12,8,23,20,22,19,25,11,14,9,15,15,16,14,28,35,25,30,19,14,10,13,13,6,5,4,9,10,12,13,13,20,28,25,22,25,35,28,29,29,31,15,15,16,19,27,32,30,21,15,21,14,20,13,19
25,31,30,23,19,20,9,11,13,9,9,5,5,9,4,11,9,7,8,5,0,8,11,13,14,22,20,19,22,21,22,8,6,10,5,21,18,20,17,24,9,12,8,13,11,13,11,25,31,22,26,18,13,10,13,13,6,5,5,15,16,18,19,10,17,25,21,19,24,32,25,25,25,28,11,11,13,16,23,28,27,15,11,17,11,17,9,21
30,28,25,20,15,16,15,19,23,17,17,13,13,13,11,9,10,3,4,11,8,0,4,11,7,24,20,18,21,20,24,4,3,2,5,27,24,26,23,28,8,12,7,11,16,11,9,19,26,21,21,27,22,20,22,20,18,15,13,13,14,16,14,1,5,12,9,13,9,26,29,29,28,30,10,7,7,10,33,38,37,14,4,12,15,11,18,22
33,30,28,22,17,18,16,21,27,22,21,16,16,15,13,11,14,7,8,13,11,4,0,7,3,25,21,19,22,21,27,5,5,4,7,29,26,28,26,30,9,13,7,15,17,13,10,22,28,24,23,29,24,22,24,23,20,18,17,16,18,19,17,5,1,13,5,10,10,28,32,32,30,32,15,11,10,12,35,40,38,16,7,15,17,13,21,25
31,28,26,21,16,17,17,21,28,22,19,16,18,14,12,16,18,9,15,15,13,11,7,0,7,25,20,18,21,19,24,7,9,12,10,29,25,27,26,29,8,13,9,7,17,12,10,22,29,24,24,30,25,23,25,23,21,24,24,27,26,25,24,15,9,7,10,5,4,29,32,33,31,33,14,13,10,13,36,41,40,17,9,13,18,14,21,33
35,34,32,26,21,22,20,25,31,25,24,20,20,18,16,11,14,10,11,17,14,7,3,7,0,25,21,19,22,20,27,8,10,13,11,28,25,27,28,30,9,14,10,9,18,13,11,23,30,25,25,31,26,24,26,25,22,25,25,28,27,26,25,17,4,8,1,5,4,30,33,34,32,34,15,14,11,14,25,43,41,18,11,14,19,15,22,33
16,20,12,10,6,8,12,20,25,20,22,22,25,16,20,31,29,22,27,25,22,24,25,25,25,0,5,11,10,6,6,22,20,24,20,11,8,10,9,9,17,18,19,19,12,14,15,12,11,10,13,11,16,19,20,22,24,27,27,35,36,38,43,29,33,35,38,28,31,11,4,4,4,7,26,25,24,21,12,14,12,22,28,21,20,19,18,41
15,16,10,7,4,4,12,18,24,18,20,20,24,13,18,24,27,18,23,21,20,20,21,20,21,5,0,5,4,2,6,16,15,18,15,16,13,15,15,11,11,13,14,13,12,9,10,10,6,9,12,12,17,21,21,23,29,31,31,37,35,40,38,25,29,30,33,24,26,7,2,3,3,2,21,21,19,16,19,24,22,17,23,16,18,15,22,41
16,14,6,7,2,1,14,20,24,20,24,23,24,15,17,26,26,16,21,21,19,18,19,18,19,11,5,0,5,3,8,15,14,18,14,17,13,15,12,13,9,11,12,12,12,8,9,10,6,9,11,14,19,23,23,25,28,31,31,37,38,39,38,24,28,30,32,24,26,1,5,6,6,6,21,20,19,16,21,26,24,17,23,16,18,14,21,40
17,16,10,10,4,3,17,21,25,21,23,22,27,16,19,26,28,20,25,25,22,21,22,21,22,10,4,5,0,5,5,18,17,20,17,15,12,14,14,8,12,14,14,16,13,11,12,14,10,12,15,15,20,23,24,26,32,35,35,41,42,43,42,28,32,33,36,27,30,4,5,5,5,1,25,24,23,20,21,20,18,21,26,20,22,18,22,43
15,15,9,4,4,3,15,18,18,18,21,21,24,14,18,31,27,17,23,22,21,20,21,19,20,6,2,3,5,0,7,16,15,18,14,16,13,15,12,12,10,9,13,12,11,8,10,8,7,4,10,10,15,18,19,21,23,26,26,38,39,40,39,25,29,30,33,25,27,7,3,4,4,6,22,21,20,17,16,21,20,18,23,17,19,15,17,38
